ville,pays,latitude,longitude,date_entiere,heure,aqi,pm2_5,pm10,no2,so2,o3,co,no,nh3
Paris,FR,48.8566,2.3522,2025-07-02,1,44,10.5,28.09,4.4,0.24,32.53,88.61,0,12.14
Tokyo,JP,35.6895,139.6917,2025-07-02,1,38,9.05,13.79,3.01,2.45,73.8,133.74,0.07,0.03
Antananarivo,MG,-18.8792,47.5079,2025-07-02,2,24,0.5,0.55,0.12,0.05,50.49,67.58,0,0.09
London,GB,51.5074,-0.1278,2025-07-02,2,16,3.81,5.51,19.35,6.61,32.78,108.29,0,1.13
New York,US,40.7128,-74.006,2025-07-02,2,29,4.66,4.96,4.46,0.9,60.49,144.68,0,0.15
Paris,FR,48.8566,2.3522,2025-07-02,2,44,10.66,26.93,4.23,0.25,29.52,89.01,0,12.63
Tokyo,JP,35.6895,139.6917,2025-07-02,2,39,9.36,14.99,3.21,2.62,73.49,134.42,0.09,0.06
Antananarivo,MG,-18.8792,47.5079,2025-07-02,3,24,0.5,0.63,0.13,0.06,51.02,67.61,0,0.1
London,GB,51.5074,-0.1278,2025-07-02,3,17,4.03,5.49,19.94,6.66,29.61,111.37,0.01,1.13
New York,US,40.7128,-74.006,2025-07-02,3,26,4.53,4.79,4.3,0.79,55.06,145.14,0,0.14
Paris,FR,48.8566,2.3522,2025-07-02,3,46,11.01,25.72,4.13,0.25,26.67,89.94,0,12.69
Tokyo,JP,35.6895,139.6917,2025-07-02,3,40,9.56,15.98,3.15,2.75,74.06,134.57,0.14,0.07
Antananarivo,MG,-18.8792,47.5079,2025-07-02,4,24,0.54,0.97,0.18,0.09,51.29,69.4,0,0.15
London,GB,51.5074,-0.1278,2025-07-02,4,18,4.26,5.54,20.37,6.58,26.56,113.74,0.01,1.05
New York,US,40.7128,-74.006,2025-07-02,4,24,4.36,4.6,4.03,0.73,50.82,143.55,0,0.13
Paris,FR,48.8566,2.3522,2025-07-02,4,45,10.9,24.01,4.14,0.24,23.48,88.95,0.01,12.38
Tokyo,JP,35.6895,139.6917,2025-07-02,4,42,10.02,17.06,2.23,2.73,80.88,134.78,0.28,0.08
Antananarivo,MG,-18.8792,47.5079,2025-07-02,5,25,0.72,1.43,0.22,0.11,52.19,71.25,0.01,0.21
London,GB,51.5074,-0.1278,2025-07-02,5,19,4.59,5.8,21.23,6.49,23.36,115.86,0.06,0.87
New York,US,40.7128,-74.006,2025-07-02,5,23,4.3,4.56,3.85,0.74,47.88,143.8,0,0.14
Paris,FR,48.8566,2.3522,2025-07-02,5,45,10.86,23.21,4.96,0.26,20.61,90.26,0.09,12.09
Tokyo,JP,35.6895,139.6917,2025-07-02,5,43,10.3,17.71,1.9,2.57,85.72,133.75,0.15,0.05
Antananarivo,MG,-18.8792,47.5079,2025-07-02,6,25,0.89,1.82,0.2,0.13,53.7,71.79,0.02,0.23
London,GB,51.5074,-0.1278,2025-07-02,6,21,4.99,6.22,21.51,6.47,21.26,117.62,0.66,0.74
New York,US,40.7128,-74.006,2025-07-02,6,21,4.37,4.6,4,0.82,45.31,146.18,0,0.13
Paris,FR,48.8566,2.3522,2025-07-02,6,45,10.91,22.8,5.34,0.28,18.9,92.1,1.16,11.31
Tokyo,JP,35.6895,139.6917,2025-07-02,6,42,10.07,17.51,1.73,2.46,87.45,131.79,0.1,0.01
Antananarivo,MG,-18.8792,47.5079,2025-07-02,7,26,1.04,2.25,0.16,0.13,55.9,71.14,0.03,0.23
London,GB,51.5074,-0.1278,2025-07-02,7,22,5.32,6.54,20.45,6.3,20.89,119.02,2.18,0.66
New York,US,40.7128,-74.006,2025-07-02,7,20,4.5,4.68,4.53,0.94,42.01,150.51,0,0.1
Paris,FR,48.8566,2.3522,2025-07-02,7,44,10.68,22.6,4.21,0.24,20.12,92.82,2.21,7.99
Tokyo,JP,35.6895,139.6917,2025-07-02,7,42,9.96,17.24,1.6,2.28,88.6,130.77,0.06,0
Antananarivo,MG,-18.8792,47.5079,2025-07-02,8,27,1.2,2.63,0.12,0.14,56.96,70.05,0.02,0.24
London,GB,51.5074,-0.1278,2025-07-02,8,23,5.54,6.72,18.97,6.25,21.56,121.16,4.02,0.61
New York,US,40.7128,-74.006,2025-07-02,8,19,4.55,4.69,4.91,0.98,36.15,154.27,0,0.07
Paris,FR,48.8566,2.3522,2025-07-02,8,44,10.6,21.15,3.63,0.24,21.73,93.2,2.7,6.74
Tokyo,JP,35.6895,139.6917,2025-07-02,8,42,9.92,17.09,1.72,2.15,88.36,130.51,0.03,0
Antananarivo,MG,-18.8792,47.5079,2025-07-02,9,27,1.25,2.65,0.1,0.13,57.45,68.58,0.02,0.23
London,GB,51.5074,-0.1278,2025-07-02,9,23,5.54,6.73,17.36,6.44,22.64,123.85,5.5,0.6
New York,US,40.7128,-74.006,2025-07-02,9,19,4.52,4.65,5.24,0.98,30.87,157.69,0,0.06
Paris,FR,48.8566,2.3522,2025-07-02,9,45,10.83,19.84,3.4,0.26,28.44,93.74,2.32,6.12
Tokyo,JP,35.6895,139.6917,2025-07-02,9,42,9.83,17.05,1.86,2.11,87.88,130.3,0.01,0
Antananarivo,MG,-18.8792,47.5079,2025-07-02,10,28,1.12,2.22,0.08,0.11,60.19,66.78,0.02,0.21
London,GB,51.5074,-0.1278,2025-07-02,10,22,5.34,6.5,15.87,6.33,24.16,125.93,6.36,0.67
New York,US,40.7128,-74.006,2025-07-02,10,19,4.52,4.64,5.68,0.98,25.99,160.73,0,0.06
